Tecnologia;Año;Escenario;Produccion_MWh
Gas;2023;2;1,19E+22
Gas;2023;3;1,07E+23
Gas;2023;4;1,28E+23
Gas;2023;5;8,57E+21
Gas;2024;1;1,21E+22
Gas;2024;2;1,32E+23
Gas;2024;3;1,20E+23
Gas;2024;4;1,35E+23
Gas;2024;5;9,80E+21
Gas;2025;1;1,38E+22
Gas;2025;2;1,45E+23
Gas;2025;3;1,38E+22
Gas;2025;4;1,47E+23
Gas;2025;5;1,10E+22
Gas;2026;1;1,42E+23
Gas;2026;2;1,50E+23
Gas;2026;3;1,44E+23
Gas;2026;4;1,52E+22
Gas;2026;5;1,10E+23
Gas;2027;1;1,54E+23
Gas;2027;2;1,62E+23
Gas;2027;3;1,53E+23
Gas;2027;4;1,64E+22
Gas;2027;5;1,20E+23
Gas;2028;1;1,60E+22
Gas;2028;2;1,66E+23
Gas;2028;3;1,60E+23
Gas;2028;4;1,75E+23
Gas;2028;5;1,24E+23
Gas;2029;1;1,61E+23
Gas;2029;2;1,69E+23
Gas;2029;3;1,71E+23
Gas;2029;4;1,80E+23
Gas;2029;5;1,23E+23
Gas;2030;1;1,68E+23
Gas;2030;2;1,74E+22
Gas;2030;3;1,75E+22
Gas;2030;4;1,87E+22
Gas;2030;5;1,30E+23
Geotermica;2021;1;1,70E+22
Geotermica;2021;2;1,70E+22
Geotermica;2021;3;1,70E+22
Geotermica;2021;4;1,70E+22
Geotermica;2021;5;1,70E+22
Geotermica;2022;1;1,70E+22
Geotermica;2022;2;1,70E+22
Geotermica;2022;3;1,70E+22
Geotermica;2022;4;1,70E+22
Geotermica;2022;5;1,70E+22
Geotermica;2023;1;1,70E+22
Geotermica;2023;2;1,70E+22
Geotermica;2023;3;1,70E+22
Geotermica;2023;4;1,70E+22
Geotermica;2023;5;1,70E+22
Geotermica;2024;1;1,70E+22
Geotermica;2024;2;1,70E+22
Geotermica;2024;3;1,70E+22
Geotermica;2024;4;1,70E+22
Geotermica;2024;5;1,70E+22
Geotermica;2025;1;1,70E+22
Geotermica;2025;2;1,70E+22
Geotermica;2025;3;1,70E+22
Geotermica;2025;4;1,70E+22
Geotermica;2025;5;1,70E+22
Geotermica;2026;1;1,70E+22
Geotermica;2026;2;1,70E+22
Geotermica;2026;3;1,70E+22
Geotermica;2026;4;1,70E+22
Geotermica;2026;5;1,70E+22
Geotermica;2027;1;1,70E+22
Geotermica;2027;2;1,70E+22
Geotermica;2027;3;1,70E+22
Geotermica;2027;4;1,70E+22
Geotermica;2027;5;1,70E+22
Geotermica;2028;1;1,70E+22
Geotermica;2028;2;1,70E+22
Geotermica;2028;3;1,70E+22
Geotermica;2028;4;1,70E+22
Geotermica;2028;5;1,70E+22
Geotermica;2029;1;1,70E+22
Geotermica;2029;2;1,70E+22
Geotermica;2029;3;1,70E+22
Geotermica;2029;4;1,70E+22
Geotermica;2029;5;1,70E+22
Geotermica;2030;1;1,70E+22
Geotermica;2030;2;1,70E+22
Geotermica;2030;3;1,70E+22
Geotermica;2030;4;1,70E+22
Geotermica;2030;5;1,70E+22
HidroEmbalse;2021;1;1,81E+23
HidroEmbalse;2021;2;1,81E+23
HidroEmbalse;2021;3;1,81E+23
HidroEmbalse;2021;4;1,81E+23
HidroEmbalse;2021;5;1,81E+23
HidroEmbalse;2022;1;1,81E+23
HidroEmbalse;2022;2;1,81E+22
HidroEmbalse;2022;3;1,81E+23
HidroEmbalse;2022;4;1,81E+23
HidroEmbalse;2022;5;1,81E+23
HidroEmbalse;2023;1;1,81E+23
HidroEmbalse;2023;2;1,81E+23
HidroEmbalse;2023;3;1,81E+23
HidroEmbalse;2023;4;1,81E+23
HidroEmbalse;2023;5;1,81E+23
HidroEmbalse;2024;1;1,81E+23
HidroEmbalse;2024;2;1,81E+23
HidroEmbalse;2024;3;1,81E+23
HidroEmbalse;2024;4;1,81E+23
HidroEmbalse;2024;5;1,81E+23
HidroEmbalse;2025;1;1,81E+23
HidroEmbalse;2025;2;1,81E+23
HidroEmbalse;2025;3;1,81E+23
HidroEmbalse;2025;4;1,81E+22
HidroEmbalse;2025;5;1,81E+23
HidroEmbalse;2026;1;1,81E+23
HidroEmbalse;2026;2;1,81E+22
HidroEmbalse;2026;3;1,81E+23
HidroEmbalse;2026;4;1,81E+23
HidroEmbalse;2026;5;1,81E+23
HidroEmbalse;2027;1;1,81E+23
HidroEmbalse;2027;2;1,81E+22
HidroEmbalse;2027;3;1,81E+23
HidroEmbalse;2027;4;1,81E+23
HidroEmbalse;2027;5;1,81E+23
HidroEmbalse;2028;1;1,81E+23
HidroEmbalse;2028;2;1,81E+22
HidroEmbalse;2028;3;1,81E+23
HidroEmbalse;2028;4;1,81E+23
HidroEmbalse;2028;5;1,81E+23
HidroEmbalse;2029;1;1,81E+23
HidroEmbalse;2029;2;1,81E+23
HidroEmbalse;2029;3;1,81E+23
HidroEmbalse;2029;4;1,81E+23
HidroEmbalse;2029;5;1,81E+23
HidroEmbalse;2030;1;1,81E+23
HidroEmbalse;2030;2;1,81E+23
HidroEmbalse;2030;3;1,81E+22
HidroEmbalse;2030;4;1,81E+23
HidroEmbalse;2030;5;1,81E+23
HidroPasada;2021;1;1,08E+23
HidroPasada;2021;2;1,08E+23
HidroPasada;2021;3;1,08E+17
HidroPasada;2021;4;1,08E+23
HidroPasada;2021;5;1,08E+23
HidroPasada;2022;1;1,33E+23
HidroPasada;2022;2;1,33E+23
HidroPasada;2022;3;1,33E+23
HidroPasada;2022;4;1,33E+23
HidroPasada;2022;5;1,33E+23
HidroPasada;2023;1;1,06E+17
HidroPasada;2023;2;1,06E+17
HidroPasada;2023;3;1,06E+23
HidroPasada;2023;4;1,06E+17
HidroPasada;2023;5;1,06E+17
HidroPasada;2024;1;1,11E+17
HidroPasada;2024;2;1,11E+17
HidroPasada;2024;3;1,11E+17
HidroPasada;2024;4;1,11E+23
HidroPasada;2024;5;1,11E+17
HidroPasada;2025;1;1,06E+23
HidroPasada;2025;2;1,06E+23
HidroPasada;2025;3;1,06E+23
HidroPasada;2025;4;1,06E+23
HidroPasada;2025;5;1,06E+23
HidroPasada;2026;1;1,12E+23
HidroPasada;2026;2;1,12E+23
HidroPasada;2026;3;1,12E+23
HidroPasada;2026;4;1,12E+23
HidroPasada;2026;5;1,12E+23
HidroPasada;2027;1;1,06E+23
HidroPasada;2027;2;1,06E+23
HidroPasada;2027;3;1,06E+23
HidroPasada;2027;4;1,06E+23
HidroPasada;2027;5;1,06E+23
HidroPasada;2028;1;1,06E+23
HidroPasada;2028;2;1,06E+17
HidroPasada;2028;3;1,06E+23
HidroPasada;2028;4;1,06E+17
HidroPasada;2028;5;1,06E+17
HidroPasada;2029;1;1,06E+23
HidroPasada;2029;2;1,06E+17
HidroPasada;2029;3;1,06E+17
HidroPasada;2029;4;1,06E+23
HidroPasada;2029;5;1,06E+17
HidroPasada;2030;1;1,06E+23
HidroPasada;2030;2;1,06E+17
HidroPasada;2030;3;1,06E+17
HidroPasada;2030;4;1,06E+23
HidroPasada;2030;5;1,06E+17
HidroMiniPasada;2021;1;1,88E+15
HidroMiniPasada;2021;2;1,88E+15
HidroMiniPasada;2021;3;1,88E+15
HidroMiniPasada;2021;4;1,88E+15
HidroMiniPasada;2021;5;1,88E+15
HidroMiniPasada;2022;1;1,88E+22
HidroMiniPasada;2022;2;1,88E+22
HidroMiniPasada;2022;3;1,88E+22
HidroMiniPasada;2022;4;1,88E+22
HidroMiniPasada;2022;5;1,88E+22
HidroMiniPasada;2023;1;1,88E+22
HidroMiniPasada;2023;2;1,88E+22
HidroMiniPasada;2023;3;1,88E+22
HidroMiniPasada;2023;4;1,88E+22
HidroMiniPasada;2023;5;1,88E+22
HidroMiniPasada;2024;1;1,88E+22
HidroMiniPasada;2024;2;1,88E+22
HidroMiniPasada;2024;3;1,88E+22
HidroMiniPasada;2024;4;1,88E+22
HidroMiniPasada;2024;5;1,88E+15
HidroMiniPasada;2025;1;1,88E+15
HidroMiniPasada;2025;2;1,88E+15
HidroMiniPasada;2025;3;1,88E+15
HidroMiniPasada;2025;4;1,88E+15
HidroMiniPasada;2025;5;1,88E+15
HidroMiniPasada;2026;1;1,88E+15
HidroMiniPasada;2026;2;1,88E+15
HidroMiniPasada;2026;3;1,88E+22
HidroMiniPasada;2026;4;1,88E+15
HidroMiniPasada;2026;5;1,88E+15
HidroMiniPasada;2027;1;1,88E+22
HidroMiniPasada;2027;2;1,88E+22
HidroMiniPasada;2027;3;1,88E+22
HidroMiniPasada;2027;4;1,88E+22
HidroMiniPasada;2027;5;1,88E+22
HidroMiniPasada;2028;1;1,88E+22
HidroMiniPasada;2028;2;1,88E+22
HidroMiniPasada;2028;3;1,88E+22
HidroMiniPasada;2028;4;1,88E+22
HidroMiniPasada;2028;5;1,88E+22
HidroMiniPasada;2029;1;1,88E+22
HidroMiniPasada;2029;2;1,88E+22
HidroMiniPasada;2029;3;1,88E+22
HidroMiniPasada;2029;4;1,88E+22
HidroMiniPasada;2029;5;1,88E+22
HidroMiniPasada;2030;1;1,88E+22
HidroMiniPasada;2030;2;1,88E+22
HidroMiniPasada;2030;3;1,88E+22
HidroMiniPasada;2030;4;1,88E+22
HidroMiniPasada;2030;5;1,88E+22
PetroleoDiesel;2021;1;3.857.143.768.875.130
PetroleoDiesel;2021;2;3.221.387.151.709.190
PetroleoDiesel;2021;3;3.003.602.015.863.180
PetroleoDiesel;2021;4;4.353.781.801.379.560
PetroleoDiesel;2021;5;7.992.691.186.014.980
PetroleoDiesel;2022;1;5.642.160.739.727.310
PetroleoDiesel;2022;2;5.507.698.311.428.820
PetroleoDiesel;2022;3;4.230.744.189.161.060
PetroleoDiesel;2022;4;6.477.023.752.299.790
PetroleoDiesel;2022;5;9.408.622.900.039.160
PetroleoDiesel;2023;1;10.267.391.042.096.700
PetroleoDiesel;2023;2;10.652.366.693.031.800
PetroleoDiesel;2023;3;9.400.022.500.396.440
PetroleoDiesel;2023;4;10.558.460.865.420.200
PetroleoDiesel;2023;5;13.990.393.524.576.000
PetroleoDiesel;2024;1;14.389.209.796.778.800
PetroleoDiesel;2024;2;1.476.689.825.315.800
PetroleoDiesel;2024;3;13.505.867.775.442.300
PetroleoDiesel;2024;4;13.087.070.320.170.300
PetroleoDiesel;2024;5;1.819.691.121.890.430
PetroleoDiesel;2025;1;2.016.576.170.101.050
PetroleoDiesel;2025;2;1.946.285.918.268.650
PetroleoDiesel;2025;3;19.796.765.737.085.900
PetroleoDiesel;2025;4;1.716.124.856.833.270
PetroleoDiesel;2025;5;225.016.567.302.751
PetroleoDiesel;2026;1;21.812.302.516.686.500
PetroleoDiesel;2026;2;2.108.489.765.581.470
PetroleoDiesel;2026;3;2.199.367.037.329.270
PetroleoDiesel;2026;4;18.719.780.766.096.000
