tabla,fila,magnitud,modelo,c,P,CAP,publicado,replicado,dif_relativa,veredicto,estado_solver,linea_tex
efectocapthetapia,1:100M,pi_a,profit_oriented,9.2e11,0.8,1e+08,270.13,270.12617855884446,-1.4e-05,coincide,A stationary point was found,540
efectocapthetapia,1:100M,theta,profit_oriented,9.2e8,0.8,1e+08,120200000.0,120200000.0,0.0,coincide,A stationary point was found,540
efectocapthetapia,1:100M,ratio,profit_oriented,9.2e8,0.8,1e+08,1.2,1.202,0.001667,coincide,A stationary point was found,540
efectocapthetapia,1:100M,pi_a,profit_oriented,9.2e8,0.8,1e+08,270.13,270.1261785588446,-1.4e-05,coincide,A stationary point was found,540
efectocapthetapia,2:200M,theta,profit_oriented,9.2e11,0.8,2e+08,240400000.0,240400000.0,0.0,coincide,A stationary point was found,541
efectocapthetapia,2:200M,ratio,profit_oriented,9.2e11,0.8,2e+08,1.2,1.202,0.001667,coincide,A stationary point was found,541
efectocapthetapia,2:200M,pi_a,profit_oriented,9.2e11,0.8,2e+08,60.57,161.56000417001877,1.667327,difiere,A stationary point was found,541
efectocapthetapia,2:200M,theta,profit_oriented,9.2e8,0.8,2e+08,240400000.0,240400000.0,0.0,coincide,A stationary point was found,541
efectocapthetapia,2:200M,ratio,profit_oriented,9.2e8,0.8,2e+08,1.2,1.202,0.001667,coincide,A stationary point was found,541
efectocapthetapia,2:200M,pi_a,profit_oriented,9.2e8,0.8,2e+08,60.57,161.56000417001877,1.667327,difiere,A stationary point was found,541
efectocapthetapia,3:300M,theta,profit_oriented,9.2e11,0.8,3e+08,360600000.0,360600000.0,0.0,coincide,A stationary point was found,542
efectocapthetapia,3:300M,ratio,profit_oriented,9.2e11,0.8,3e+08,1.2,1.202,0.001667,coincide,A stationary point was found,542
efectocapthetapia,3:300M,pi_a,profit_oriented,9.2e11,0.8,3e+08,119.47,119.47271861356077,2.3e-05,coincide,A stationary point was found,542
efectocapthetapia,3:300M,theta,profit_oriented,9.2e8,0.8,3e+08,360600000.0,360600000.0,0.0,coincide,A stationary point was found,542
efectocapthetapia,3:300M,ratio,profit_oriented,9.2e8,0.8,3e+08,1.2,1.202,0.001667,coincide,A stationary point was found,542
efectocapthetapia,3:300M,pi_a,profit_oriented,9.2e8,0.8,3e+08,119.47,119.4727186135608,2.3e-05,coincide,A stationary point was found,542
efectocapthetapia,4:400M,theta,profit_oriented,9.2e11,0.8,4e+08,454798037.0,480799999.99999994,0.057173,difiere,A stationary point was found,543
efectocapthetapia,4:400M,ratio,profit_oriented,9.2e11,0.8,4e+08,1.14,1.202,0.054386,difiere,A stationary point was found,543
efectocapthetapia,4:400M,pi_a,profit_oriented,9.2e11,0.8,4e+08,95.83,95.83339358018387,3.5e-05,coincide,A stationary point was found,543
efectocapthetapia,4:400M,theta,profit_oriented,9.2e8,0.8,4e+08,454798037.0,480800000.0,0.057173,difiere,A stationary point was found,543
efectocapthetapia,4:400M,ratio,profit_oriented,9.2e8,0.8,4e+08,1.14,1.202,0.054386,difiere,A stationary point was found,543
efectocapthetapia,4:400M,pi_a,profit_oriented,9.2e8,0.8,4e+08,95.83,95.83339358018384,3.5e-05,coincide,A stationary point was found,543
efectocapthetapia,5:500M,theta,profit_oriented,9.2e11,0.8,5e+08,601000000.0,601000000.0,0.0,coincide,A stationary point was found,544
efectocapthetapia,5:500M,ratio,profit_oriented,9.2e11,0.8,5e+08,1.2,1.202,0.001667,coincide,A stationary point was found,544
efectocapthetapia,5:500M,pi_a,profit_oriented,9.2e11,0.8,5e+08,79.31,79.31040215753177,5e-06,coincide,A stationary point was found,544
efectocapthetapia,5:500M,theta,profit_oriented,9.2e8,0.8,5e+08,601000000.0,601000000.0,0.0,coincide,A stationary point was found,544
efectocapthetapia,5:500M,ratio,profit_oriented,9.2e8,0.8,5e+08,1.2,1.202,0.001667,coincide,A stationary point was found,544
efectocapthetapia,5:500M,pi_a,profit_oriented,9.2e8,0.8,5e+08,79.31,79.31040215753171,5e-06,coincide,A stationary point was found,544
efectocapthetapia,6:600M,theta,profit_oriented,9.2e11,0.8,6e+08,605279899.0,721200000.0,0.191515,difiere,A stationary point was found,545
efectocapthetapia,6:600M,ratio,profit_oriented,9.2e11,0.8,6e+08,1.01,1.202,0.190099,difiere,A stationary point was found,545
efectocapthetapia,6:600M,pi_a,profit_oriented,9.2e11,0.8,6e+08,66.57,66.57319096733546,4.8e-05,coincide,A stationary point was found,545
efectocapthetapia,6:600M,theta,profit_oriented,9.2e8,0.8,6e+08,605279899.0,721200000.0,0.191515,difiere,A stationary point was found,545
efectocapthetapia,6:600M,ratio,profit_oriented,9.2e8,0.8,6e+08,1.01,1.202,0.190099,difiere,A stationary point was found,545
efectocapthetapia,6:600M,pi_a,profit_oriented,9.2e8,0.8,6e+08,66.57,66.57319096733555,4.8e-05,coincide,A stationary point was found,545
efectocapthetapia,7:700M,theta,profit_oriented,9.2e11,0.8,7e+08,605279899.0,841400000.0,0.390101,difiere,A stationary point was found,546
efectocapthetapia,7:700M,ratio,profit_oriented,9.2e11,0.8,7e+08,0.86,1.202,0.397674,difiere,A stationary point was found,546
efectocapthetapia,7:700M,pi_a,profit_oriented,9.2e11,0.8,7e+08,56.37,56.371497593904095,2.7e-05,coincide,A stationary point was found,546
efectocapthetapia,7:700M,theta,profit_oriented,9.2e8,0.8,7e+08,605279899.0,841400000.0,0.390101,difiere,A stationary point was found,546
efectocapthetapia,7:700M,ratio,profit_oriented,9.2e8,0.8,7e+08,0.86,1.202,0.397674,difiere,A stationary point was found,546
