modelo,P,cm,CAP,estado,estado_crudo,theta,pi_a,eta,r_p,pi_d_2018,theta_sobre_CAP,segundos,sustituciones,error,_f
profit_oriented,0.8,9.2e8,1e+08,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563826,1.202,60.3,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP1_c9.2e8
profit_oriented,0.8,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.12617855884446,5.908336798357059e-24,,264.0340286563825,1.202,49.6,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.8_c9.2e11
profit_oriented,0.8,9.2e11,1e+09,SLOW_PROGRESS,A stationary point was found,1.202e9,35.98387073034978,0.0,,66.36007584578797,1.202,53.0,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e+09; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP10_c9.2e11
profit_oriented,0.85,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563826,1.202,66.2,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.85; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.85_c9.2e11
profit_oriented,0.8,9.2e11,5e+08,SLOW_PROGRESS,A stationary point was found,6.01e8,79.31040215753177,0.0,,102.93837221697129,1.202,54.6,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=5e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP5_c9.2e11
quadratic_rate,,9.9e9,9e+08,SLOW_PROGRESS,A stationary point was found,6.658260249379319e8,38.351212179788064,0.0,,88.01287447143248,0.7398066943754799,83.8,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=9e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP9
profit_oriented,0.8,9.2e8,3e+08,SLOW_PROGRESS,A stationary point was found,3.606e8,119.4727186135608,0.0,,136.84528943121717,1.202,53.2,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=3e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP3_c9.2e8
precision,,4e6,1e+08,ITERATION_LIMIT,Cumulative minor iterlim met,1.6717106026233375e8,163.72769349581264,0.0,6.717106026267667e7,279.26806258051994,1.6717106026233375,62.4,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=1e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP1
profit_oriented,0.8,9.2e8,6e+08,SLOW_PROGRESS,A stationary point was found,7.212e8,66.57319096733555,0.0,,92.18501923646815,1.202,51.9,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=6e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP6_c9.2e8
profit_oriented,0.8,9.2e8,7e+08,SLOW_PROGRESS,A stationary point was found,8.414e8,56.37149759390407,0.0,,83.57226969457426,1.202,53.3,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=7e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP7_c9.2e8
profit_oriented,0.8,9.2e8,1e+09,SLOW_PROGRESS,A stationary point was found,1.202e9,35.98387073034978,0.0,,66.36007584578799,1.202,64.2,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e+09; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP10_c9.2e8
profit_oriented,0.95,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.12617855884446,0.0,,264.0340286563823,1.202,47.4,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.95; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.95_c9.2e11
precision,,4e6,3e+08,SLOW_PROGRESS,A stationary point was found,5.495516278395478e8,58.3224925271196,0.0,2.4955162783954915e8,100.27875552752717,1.8318387594651593,70.5,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=3e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP3
precision,,4e6,5e+08,SLOW_PROGRESS,A stationary point was found,5.851134418249705e8,43.32375885219388,0.0,1.8805174372177413e8,94.36980275121051,1.170226883649941,67.0,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=5e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP5
quadratic_rate,,9.9e9,3e+08,SLOW_PROGRESS,A stationary point was found,3.7742392705732906e8,59.437196880366976,0.0,,115.44846961409517,1.2580797568577635,124.0,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=3e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP3
precision,,4e6,1e+09,SLOW_PROGRESS,A stationary point was found,7.980000000008367e8,0.0,1.385339160188922e8,2.0199999999916324e8,84.03735440315177,0.7980000000008367,46.7,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=1e+09; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP10
